era,decade_label,phrase,tone_label,source,funding_million_usd,survival_rate_percent,survival_data_type,policy_milestone
1970s,1970s - The Silence Era,Silence surrounded any mention of the disease.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,Speaking the dreaded word aloud felt taboo.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,"The prognosis remained grim, with little offered beyond comfort.",dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,It was treated as an unspoken death sentence in the family.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,"Doctors spoke of the illness only in hushed, careful tones.",dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,"The disease was rarely named, only whispered about in secret.",dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The illness was considered incurable at the time.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,"Doctors called it an untreatable, fatal disease.",dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,Cancer was viewed as an incurable death sentence.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The disease was labeled incurable and fatal from the start.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1980s-1990s,1980s-1990s - Awareness Building,Early detection through mammography can save lives.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,A support group meets weekly to help patients cope.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,She chose to speak publicly about her diagnosis.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Screening guidelines now recommend regular checkups after forty.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Researchers report encouraging progress in early-stage treatment.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,The awareness campaign encouraged women to get screened.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,New drugs are showing promise in clinical trials.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,She joined a walk to raise funds for research.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Doctors now discuss diagnosis and treatment openly with patients.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,The hospital opened a new outpatient treatment center.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Community groups began organizing regular screening drives.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Talking about the diagnosis became less taboo.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,The clinic reported improved outcomes for early detection cases.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Public health officials pushed for wider screening access.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,She credits an early mammogram with catching it in time.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Annual mammography screening became part of routine checkups.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Awareness campaigns urged women toward early detection.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,The screening clinic saw a surge in early detection visits.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Her support group met to discuss early detection strategies.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Regular mammography appointments are now part of the awareness push.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,Screening at forty became the new standard of early detection.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1980s-1990s,1980s-1990s - Awareness Building,The awareness campaign's mammography drive reached thousands.,guarded_awareness,"illustrative (representative of era's tone, not a direct quote)",1664,57.3,"interpolated estimate (linear, 1976-2010 SEER anchors)",1987-88 - NCI issues mammography screening guidelines; Medicare mandates coverage for screening mammograms
1990s-2000s,1990s-2000s - Prevention Focus,Genetic testing can help identify high-risk patients early.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,Preventive medication reduced her risk significantly.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,The clinical trial showed a major drop in recurrence rates.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,Nationwide screening programs expanded to rural communities.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,New targeted therapies are changing how doctors treat the disease.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,She underwent preventive treatment after a family history assessment.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,Public health campaigns pushed for colon cancer screenings.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,"Research funding doubled, accelerating new drug approvals.",prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,The survivor rate for early-stage cases continues to climb.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,Doctors now personalize treatment based on tumor genetics.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,The foundation funded a decade of prevention research.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,Screening before symptoms appear is now standard practice.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,New evidence supports lifestyle changes to lower risk.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,The trial results were called a turning point for prevention.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,"More patients are being diagnosed early, when treatment works best.",prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,Genetic testing shaped a preventive treatment plan for her tumor.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,The clinical trial tested a new targeted therapy for high-risk patients.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,Preventive genetic screening became standard for high-risk families.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,Targeted therapy based on tumor genetics improved her outcome.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,The trial's preventive approach relied on early genetic testing.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,Personalizing treatment through tumor genetics defined the decade.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
1990s-2000s,1990s-2000s - Prevention Focus,A preventive clinical trial targeted patients with genetic risk factors.,prevention_focus,"illustrative (representative of era's tone, not a direct quote)",3332,63.2,"interpolated estimate (linear, 1976-2010 SEER anchors)",1998 - Tamoxifen trial shows a 49% reduction in breast cancer incidence among high-risk women
2010s,2010s - Survivorship Era,She now shares her survivor story to inspire others.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,The Affordable Care Act made screenings free for millions.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Support networks help survivors thrive long after treatment ends.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Low-dose CT scans are catching lung cancer earlier than ever.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,The survivor community continues to grow every year.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,"New immunotherapies are helping patients live longer, fuller lives.",survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,She ran a marathon two years after finishing chemotherapy.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Workplace policies now support employees returning after treatment.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Survivorship clinics help patients navigate life after diagnosis.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,The five-year survival rate keeps improving year after year.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Insurance now covers preventive screenings at no extra cost.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,"She calls herself a survivor, not a victim.",survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Research breakthroughs are turning some cancers into manageable conditions.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,The hospital celebrates its ten-thousandth survivor milestone.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Online communities connect survivors across the country.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,The survivorship clinic helped her thrive after remission.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Immunotherapy brought thousands of patients into lasting remission.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,She thrives today as a survivor thanks to the Affordable Care Act's coverage.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Survivor networks helped her thrive well beyond remission.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,The Affordable Care Act expanded survivorship support nationwide.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Immunotherapy trials gave more survivors a path to remission.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2010s,2010s - Survivorship Era,Her survivorship story of thriving after remission inspired others.,survivorship,"illustrative (representative of era's tone, not a direct quote)",4950,69.2,"actual (SEER, 2007-13 cohort)",2010 - Affordable Care Act requires no-cost preventive cancer screenings; low-dose CT trial cuts lung cancer deaths ~20%
2020s,2020s - Precision & Hope Era,Precision medicine tailors treatment to each patient's genetic profile.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,AI-assisted screening is catching tumors earlier than ever before.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,The Cancer Moonshot aims to cut death rates in half within a generation.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,She credits immunotherapy with putting her cancer into remission.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,Thriver communities celebrate life beyond diagnosis.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
